hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
Hotel Livasa Inn Near BLK Hospital,"Karol bagh, New Delhi",36000,36000,Good,7.8,9,Deluxe Room,2 large double beds,N/A,Free parking,No Metro,N/A,N/A,1800
Spark Inn -Main Bazar New Delhi,"Paharganj, New Delhi (Chandni Chowk)",10497,20994,Exceptional,10,5,Family Room,2 large double beds,N/A,N/A,No Metro,Free cancellation,N/A,525
Hotel Royal Rosette Near New Delhi Railway Station - Connaught Place and VFS,"Paharganj, New Delhi (Chandni Chowk)",13174,32935,Good,7.8,493,Executive Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,N/A,N/A,659
Hotel Sita International,"Paharganj, New Delhi (Chandni Chowk)",26496,82800,Good,7.4,133,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,1325
Radisson Blu Marina Hotel Connaught Place,"Connaught Place, New Delhi",107534,107534,Good,7.9,"3,011",Premium Room,Multiple bed types,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,22539
Hotel Lal's Haveli,"Paharganj, New Delhi (Chandni Chowk)",22740,22740,Fabulous,8.7,59,Deluxe Room,2 double beds,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,1137
Super Townhouse Oak New Delhi Central Railway Junction Formerly Uppal International,"Paharganj, New Delhi (Chandni Chowk)",14412,22875,Good,7.7,172,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,1027
Family Hotel Leo,"Paharganj, New Delhi (Chandni Chowk)",11628,11628,Good,7.3,182,Budget Double Room,2 large double beds,N/A,N/A,No Metro,N/A,N/A,581
Shyama inn by Rivlet,"Dariyaganj, New Delhi (Chandni Chowk)",52480,65600,Good,7.1,55,Family Room,4 double beds,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,2624
"Hotel Pablas International, New Delhi, Near Metro","Karol bagh, New Delhi",39156,39156,Good,7.5,43,Superior Deluxe Double or Twin Room,1 extra-large double bed,N/A,N/A,Metro access,N/A,N/A,1958
SPOT ON Hotel Kabila,"Karol bagh, New Delhi",5423,8607,Review score,1.9,43,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,615
Hotel Good Times - 3 Minutes from Metro,"Karol bagh, New Delhi",16575,26309,Good,7.2,86,Double or Twin Room,Beds: 1 double or 2 singles,N/A,Free parking,Metro access,Free cancellation,N/A,829
Hotel Coral Plaza - Near Connaught Place,"Karol bagh, New Delhi",11876,11876,Review score,4.7,21,Luxury Triple Room,"2 beds (1 single, 1 sofa bed)",N/A,N/A,Metro access,Free cancellation,N/A,594
Hotel Pawan Plaza at Karol Bagh,"Karol bagh, New Delhi",22788,48486,Good,7.6,115,Standard Double or Twin Room,Beds: 1 double or 2 singles,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,1139
Delhi Delight Premium,"Karol bagh, New Delhi",20520,20520,Good,7.6,32,Deluxe King Room,2 large double beds,N/A,N/A,No Metro,N/A,N/A,1026
Hotel Su Shree Continental Dx Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",13064,28400,Good,7.9,378,Deluxe Double Room,1 extra-large double bed,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,653
Hotel Mannat international by Mannat,"Paharganj, New Delhi (Chandni Chowk)",17384,24835,Good,7.1,"1,130",Deluxe Triple Room,2 double beds • Free cot always available,N/A,Free parking,No Metro,Free cancellation,N/A,869
Hotel Royal Gold Palace,"Karol bagh, New Delhi",43740,43740,Review score,6.8,9,King Room,"2 beds (1 sofa bed, 1 large double)",Breakfast included,Free parking,No Metro,Free cancellation,N/A,2187
Hotel Sun Shine,"Karol bagh, New Delhi",14400,14400,Review score,4.4,6,Standard Single Room,1 single bed,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,Includes
Hotel S B Inn Near New Delhi railway Station Paharganj,"Paharganj, New Delhi (Chandni Chowk)",15045,27355,Very good,8.1,732,Deluxe Triple Room,Multiple bed types,N/A,N/A,No Metro,N/A,N/A,752
"Hotel TJS Royale, Karol Bagh, 2 Mins from Metro","Karol bagh, New Delhi",20729,27639,Good,7.6,44,Deluxe Room,1 double bed,Breakfast included,Free parking,No Metro,Free cancellation,N/A,1036
